Code,Location,Area,Price,Image,Link
P00309,ห้องชุดเลขที่ 135/200 ชั้น 8 อาคารชุด พี.จี.2 เดอะคอนโดเรสซิเด๊นท์ ถนนพระราม 9 แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร,0000-0-00.0 / 30.12 ตร.ม.,"2,387,000บาท",https://media.tmbbank.com/uploads/npa/product/img/3807_20220513151658.jpg,https://www.ttbbank.com/property/property/detail/P00309
P00308,ห้องชุดเลขที่ 135/96 ชั้น 5 อาคารชุด พี.จี.2 เดอะคอนโดเรสซิเด๊นท์ ถนนพระราม 9 แขวงห้วยขวาง เขตห้วยขวาง กรุงเทพมหานคร,0000-0-00.0 / 31.2 ตร.ม.,"2,403,000บาท",https://media.tmbbank.com/uploads/npa/product/img/3808_20220513151436.jpg,https://www.ttbbank.com/property/property/detail/P00308
P00362,ห้องชุดเลขที่ 1462/116 ชั้น 7 อาคาร D โครงการเดอะนิช โมโน  บางนา ถนนบางนา-ตราด แขวงบางนา เขตบางนา กรุงเทพมหานคร,0000-0-00.0 / 33.61 ตร.ม.,"2,404,000บาท",https://media.tmbbank.com/uploads/npa/product/img/3114_20210621171848.jpg,https://www.ttbbank.com/property/property/detail/P00362
P00198,95/398 ซอย 5/7 หมู่บ้านเดอะคอนเนค22 รามอินทรา-มีนบุรี ถนนสุวินทวงศ์ แขวงมีนบุรี เขตมีนบุรี กรุงเทพมหานคร,0000-0-18.2 / 18.2 ตร.ว.,"2,420,000บาท",https://media.tmbbank.com/uploads/npa/product/img/2122_20191217153255.jpg,https://www.ttbbank.com/property/property/detail/P00198
P00196,กรรมสิทธิ์ห้องชุดเลขที่ 3/556 ชั้น 13 อาคารบี อาคารชุดลุมพินีเพลส พระราม8 แขวงบางยี่ขัน เขตบางพลัด กรุงเทพมหานคร,0000-0-00.0 / 35.06 ตร.ม.,"2,431,000บาท",https://media.tmbbank.com/uploads/npa/product/img/2146_20200106110810.jpg,https://www.ttbbank.com/property/property/detail/P00196
P00037,"219, 221 หมู่บ้านสุขทวี วิลเลจ ซอยบรมราชชนนี 76 ถนนบรมราชชนนี แขวงบางระมาด เขตตลิ่งชัน กรุงเทพมหานคร",0000-0-40.0 / 40 ตร.ว.,"2,450,000บาท",https://media.tmbbank.com/uploads/npa/product/img/462_20210122154738.jpg,https://www.ttbbank.com/property/property/detail/P00037
P00197,กรรมสิทธิ์ห้องชุดเลขที่ 3/557 ชั้น 13 อาคารบี อาคารชุดลุมพินีเพลส พระราม8 แขวงบางยี่ขัน เขตบางพลัด กรุงเทพมหานคร,0000-0-00.0 / 35.32 ตร.ว.,"2,453,000บาท",https://media.tmbbank.com/uploads/npa/product/img/2147_20210217163618.jpg,https://www.ttbbank.com/property/property/detail/P00197
P00333,ห้องชุดเลขที่ 789/34 ชั้น 7 โครงการไอดิโอ โมบิ วงศ์สว่าง-อินเตอร์เชนจ์ ถนนกรุงเทพ-นนทบุรี แขวงวงศ์สว่าง เขตบางซื่อ กรุงเทพมหานคร,0000-0-00.0 / 24.63 ตร.ม.,"2,519,000บาท",https://media.tmbbank.com/uploads/npa/product/img/3756_20220513125644.jpg,https://www.ttbbank.com/property/property/detail/P00333
P00465,ห้องชุดเลขที่ 33/476 อาคารเอชั้น 16 ถนนราชพฤกษ์ โครงการเดอะคีย์ สาทร ราชพฤกษ์ แขวงบางค้อ เขตจอมทอง กรุงเทพมหานคร,000-0-00.0 / 30.63 ตร.ม.,"2,595,000บาท",https://media.tmbbank.com/uploads/npa/product/img/3427_20210706173815.jpg,https://www.ttbbank.com/property/property/detail/P00465
P00159,62/146 หมู่บ้านเนอวานา คัฟเวอร์  ซอยอ่อนนุช 65  ถนนอ่อนนุช แขวงประเวศ เขตประเวศ กรุงเทพมหานคร,0000-0-17.9 / 17.9 ตร.ว.,"2,600,000บาท",https://media.tmbbank.com/uploads/npa/product/img/2024_20210219163347.jpg,https://www.ttbbank.com/property/property/detail/P00159
P00008,159/424 พาราไดซ์ เทอเรซ ซอยร่มเกล้า 36 ถนนร่มเกล้า แขวงคลองสามประเวศ เขตลาดกระบัง กรุงเทพมหานคร,0000-0-18.0 / 18 ตร.ว.,"2,700,000บาท",https://media.tmbbank.com/uploads/npa/product/img/280_20201217143442.jpg,https://www.ttbbank.com/property/property/detail/P00008
P00205,244/33 หมู่บ้านขุมทรัพย์แลนด์ ซอยราษฎร์อุทิศ 34 ถนนราษฎร์อุทิศ แขวงแสนแสบ เขตมีนบุรี กรุงเทพมหานคร,0000-0-50.0 / 50 ตร.ว.,"2,750,000บาท",https://media.tmbbank.com/uploads/npa/product/img/2485_20201103164605.jpg,https://www.ttbbank.com/property/property/detail/P00205
P00209,451/269 หมู่บ้านปัญฐิญา ซอย 28 ถนนสุวิทวงศ์ 11 แขวงแสนแสบ เขตมีนบุรี กรุงเทพมหานคร,0000-0-45.0 / 45 ตร.ว.,"2,761,000บาท",https://media.tmbbank.com/uploads/npa/product/img/2124_20191209145638.jpg,https://www.ttbbank.com/property/property/detail/P00209
P00329,339/101 หมู่บ้านซิตี้เซนส์ เพชรเกษม 69 ซอยเพชรเกษม 69 ถนนเพชรเกษม แขวงหลักสอง เขตบางแค กรุงเทพมหานคร,0000-0-18.1 / 18.1 ตร.ว.,"2,761,000บาท",https://media.tmbbank.com/uploads/npa/product/img/3638_20220315194501.jpg,https://www.ttbbank.com/property/property/detail/P00329
